"State_FIPS_Code","County_FIPS_Code","CHSI_County_Name","CHSI_State_Name","CHSI_State_Abbr","Strata_ID_Number","No_Exercise","CI_Min_No_Exercise","CI_Max_No_Exercise","Few_Fruit_Veg","CI_Min_Fruit_Veg","CI_Max_Fruit_Veg","Obesity","Relative_Obesity","Obesity_Indicator","CI_Min_Obesity","CI_Max_Obesity","CI_Length_Obesity","Relative_CI_Length_Obesity","High_Blood_Pres","CI_Min_High_Blood_Pres","CI_Max_High_Blood_Pres","Smoker","CI_Min_Smoker","CI_Max_Smoker","Diabetes","CI_Min_Diabetes","CI_Max_Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Elderly_Disabled_Medicare_Ratio","Prim_Care_Phys_Rate","Prim_Care_Phys_PCT","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind"
"01","111","Randolph","Alabama","AL","72","35.2","25.3","45.1","","","","","","","","","","","","","","22.1","13.8","30.5","8.1","3.2","13","3575","3357","869","3.863060989643268","26.4","0.0264","17.6","2","2"
"01","113","Russell","Alabama","AL","8","32.8","23.9","41.7","","","","28.9","1.196925821571766","1","21.3","36.5","15.2","1.3100046114915291","","","","22","14.8","29.2","9.7","5.3","14","8785","6799","1851","3.6731496488384656","32.4","0.0324","16.2","1","2"
"01","115","St. Clair","Alabama","AL","22","28.2","22.8","33.6","79.7","72.6","86.8","27.6","1.1430848676602332","1","21.8","33.4","11.599999999999998","0.99974036140143","39","30","48","28.5","22.8","34.1","13","8.8","17.2","8534","6538","2029","3.2222769837358305","22.1","0.0221","15.2","2","1"
"01","117","Shelby","Alabama","AL","11","18.9","15.7","22.1","78.3","73.9","82.7","20.8","0.8614552625845237","0","17.5","24.2","6.699999999999999","0.5774362432232398","26.7","21","32.4","21","17.3","24.7","4.8","3.2","6.4","13249","10635","2661","3.9966178128523113","95.6","0.09559999999999999","28","1","2"
"01","119","Sumter","Alabama","AL","66","","","","","","","","","","","","","","","","","","","","11.8","3.3","20.3","3465","1925","595","3.235294117647059","36.2","0.0362","14.5","1","2"
"01","121","Talladega","Alabama","AL","8","34.1","28.6","39.6","79.1","72.7","85.5","32.7","1.3543070714670156","1","27.2","38.3","11.099999999999998","0.9566481044444718","42.2","33.5","50.9","24.1","19.1","29","10.9","7.4","14.4","12378","10035","4300","2.333720930232558","38.5","0.0385","21.1","1","2"
"01","123","Tallapoosa","Alabama","AL","49","32.1","23.8","40.5","79.3","70.7","88","23.2","0.9608539467288917","0","15.9","30.6","14.700000000000001","1.266912354534571","","","","29.4","21.8","37","5.6","2.8","8.4","6488","5808","1749","3.3207547169811322","61.4","0.061399999999999996","34.4","1","2"
"01","125","Tuscaloosa","Alabama","AL","6","27.1","23.4","30.8","79","74.4","83.6","25.3","1.0478277953552138","1","21.6","29.1","7.5","0.646383854354373","29.7","23.8","35.5","23.8","19.9","27.6","7.9","5.7","10.2","23311","17734","5539","3.201660949629897","97.7","0.09770000000000001","32","1","2"
"01","127","Walker","Alabama","AL","24","34.9","28.9","40.9","79.3","72.4","86.3","30.5","1.2631916110013448","1","24.7","36.3","11.599999999999998","0.99974036140143","35","26","44","33.8","27.7","39.9","11.5","8","15.1","10818","10991","3880","2.8327319587628867","45.6","0.0456","29.9","1","2"
"01","129","Washington","Alabama","AL","66","","","","","","","","","","","","","","","","","","","","10.5","3.1","18","3037","2210","764","2.892670157068063","33.8","0.0338","11.3","1","1"
