State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,Relative_Obesity,Obesity_Indicator,CI_Min_Obesity,CI_Max_Obesity,CI_Length_Obesity,Relative_CI_Length_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Elderly_Disabled_Medicare_Ratio,Prim_Care_Phys_Rate,Prim_Care_Phys_PCT,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
51,820,Waynesboro City,Virginia,VA,40,,,,,,,,,,,,,,,,,,,,10,0,20,2449,4740,852,5.563380282,79.9,0.0799,70.5,2,2
51,830,Williamsburg City,Virginia,VA,41,,,,,,,,,,,,,,,,,,,,,,,959,6060,459,13.20261438,34,0.034,8.5,2,2
51,840,Winchester City,Virginia,VA,40,21.4,12.4,30.4,,,,,,,,,,,,,,22.1,13,31.1,3.1,0.3,5.8,3100,4623,603,7.666666667,290.6,0.2906,95.5,1,2
53,1,Adams,Washington,WA,42,23.2,17.1,29.2,,,,34.5,1.428856085,1,25.3,43.6,18.3,1.577176605,22.1,12.9,31.2,17.3,10.9,23.6,15.4,7.1,23.8,4102,1333,178,7.488764045,65.5,0.0655,41.7,1,2
53,3,Asotin,Washington,WA,43,25.6,19,32.1,78.2,69.7,86.7,24.4,1.010553289,1,18.6,30.1,11.5,0.99112191,34.2,24.7,43.7,24.6,18.2,31,13,8.1,17.9,2790,3404,696,4.890804598,66.1,0.0661,37.8,2,2
53,5,Benton,Washington,WA,12,18.8,16.3,21.2,78.9,75.5,82.2,22.9,0.948429111,0,20.3,25.6,5.3,0.456777924,23.8,20.3,27.4,19.4,16.9,21.9,6.7,5.2,8.1,21657,15210,2550,5.964705882,69.6,0.0696,35.5,1,2
53,7,Chelan,Washington,WA,24,21.4,17.8,25,77.7,73.2,82.2,21.1,0.873880098,0,17.8,24.4,6.6,0.568817792,27.6,22.5,32.7,18.7,15.3,22.2,6.2,3.8,8.7,13111,7047,923,7.634886241,118.9,0.1189,58.7,1,2
53,9,Clallam,Washington,WA,21,21,17.7,24.3,73,68.2,77.9,22.4,0.927721052,0,19.3,25.5,6.2,0.534343986,27.8,23.1,32.5,20.4,17,23.7,6.3,4.6,8,8411,14698,1982,7.415741675,100.4,0.1004,53.1,2,2
53,11,Clark,Washington,WA,10,16.4,14.9,17.9,76.2,73.8,78.7,24.8,1.027119736,1,23,26.6,3.6,0.31026425,24.1,21.8,26.5,20.2,18.5,21.9,5.9,5,6.8,44458,35029,6282,5.576090417,72.1,0.0721,35.7,1,2
53,13,Columbia,Washington,WA,84,,,,,,,,,,,,,,,,,10.8,2.7,19,3,1,5.1,671,702,122,5.754098361,48.4,0.0484,24.2,2,2
53,15,Cowlitz,Washington,WA,20,19.5,16.5,22.6,73.4,68.2,78.7,29.4,1.217633881,1,25.9,32.8,6.9,0.594673146,28,23.5,32.5,23.4,20.2,26.6,8,6.2,9.9,12393,12810,2638,4.855951478,81.2,0.0812,37,1,2
53,17,Douglas,Washington,WA,47,19.3,14.5,24.1,79.6,74.3,84.9,20.1,0.83246398,0,16.3,24,7.7,0.663620757,24.5,18.6,30.5,21.2,16.6,25.9,5.1,3.6,6.5,6476,6469,892,7.252242152,25.7,0.0257,28.6,2,2
53,19,Ferry,Washington,WA,83,24.1,14.6,33.7,,,,19.6,0.811755921,0,13.3,25.9,12.6,1.085924875,,,,,,,11.2,3.1,19.4,1478,907,237,3.827004219,13.3,0.0133,13.3,1,1
53,21,Franklin,Washington,WA,33,22.8,19.1,26.5,81.7,77.3,86.1,21.8,0.902871381,0,17.9,25.6,7.7,0.663620757,17.9,13.1,22.7,15,11.7,18.2,4.8,3.2,6.4,11896,4127,702,5.878917379,47.6,0.0476,23.8,1,2
53,23,Garfield,Washington,WA,79,,,,87.2,80.3,94.2,,,,,,,,,,,,,,,,,342,493,65,7.584615385,0,0,0,2,1
53,25,Grant,Washington,WA,23,23.2,19.6,26.8,79.7,75.4,84.1,26,1.076819078,1,22,30,8,0.689476111,30.2,21,39.5,19.4,15.7,23,7.2,5.3,9.1,16410,9093,1603,5.672489083,56.6,0.0566,20.9,1,2
53,27,Grays Harbor,Washington,WA,24,22.6,18.7,26.4,80.9,76.3,85.4,29.1,1.205209045,1,24.4,33.9,9.5,0.818752882,33.8,28.4,39.2,26.6,22,31.3,11.3,7.3,15.3,10848,10589,2240,4.727232143,43.7,0.0437,40.9,1,2
